zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips
90804,33.78223,-118.14917,Long Beach,CA,California,TRUE,NA,38151,6822.8,6037
90805,33.86494,-118.18051,Long Beach,CA,California,TRUE,NA,95094,4949,6037
90806,33.80819,-118.17797,Long Beach,CA,California,TRUE,NA,41280,3261.6,6037
90807,33.83098,-118.18113,Long Beach,CA,California,TRUE,NA,32699,2855.8,6037
90808,33.82406,-118.11236,Long Beach,CA,California,TRUE,NA,39602,2226.8,6037
90810,33.81912,-118.22096,Long Beach,CA,California,TRUE,NA,36657,2164.2,6037
90813,33.78237,-118.19656,Long Beach,CA,California,TRUE,NA,56726,7112.2,6037
90814,33.7716,-118.14351,Long Beach,CA,California,TRUE,NA,18714,5421.5,6037
90815,33.79572,-118.11592,Long Beach,CA,California,TRUE,NA,41854,2290.9,6037
90822,33.77825,-118.11871,Long Beach,CA,California,TRUE,NA,133,316,6037
90831,33.76824,-118.20055,Long Beach,CA,California,TRUE,NA,0,0,6037
90840,33.78449,-118.12133,Long Beach,CA,California,TRUE,NA,NA,NA,6037
91001,34.19522,-118.13866,Altadena,CA,California,TRUE,NA,36697,1715.3,6037
91006,34.1352,-118.02667,Arcadia,CA,California,TRUE,NA,32526,1953.2,6037
91007,34.12842,-118.04818,Arcadia,CA,California,TRUE,NA,33827,2372.3,6037
91008,34.15363,-117.96862,Duarte,CA,California,TRUE,NA,1079,216.4,6037
91010,34.14114,-117.95918,Duarte,CA,California,TRUE,NA,26516,1591.9,6037
91011,34.21757,-118.20346,La Canada Flintridge,CA,California,TRUE,NA,20174,691.7,6037
91016,34.15246,-118.00065,Monrovia,CA,California,TRUE,NA,41582,1893.7,6037
91020,34.21144,-118.23065,Montrose,CA,California,TRUE,NA,8785,4720.9,6037
91024,34.17177,-118.04654,Sierra Madre,CA,California,TRUE,NA,10829,1196.4,6037
91030,34.11029,-118.15748,South Pasadena,CA,California,TRUE,NA,25478,2866.7,6037
91040,34.25861,-118.33468,Sunland,CA,California,TRUE,NA,20606,956.2,6037
91042,34.30687,-118.25701,Tujunga,CA,California,TRUE,NA,26617,206.4,6037
91046,34.2117,-118.24092,Verdugo City,CA,California,TRUE,NA,191,14534.7,6037
91101,34.14671,-118.13895,Pasadena,CA,California,TRUE,NA,21920,6662.7,6037
91103,34.16738,-118.16446,Pasadena,CA,California,TRUE,NA,26837,2257.8,6037
91104,34.16766,-118.12341,Pasadena,CA,California,TRUE,NA,37784,3868.8,6037
91105,34.14045,-118.16716,Pasadena,CA,California,TRUE,NA,12648,1163.9,6037
91106,34.13861,-118.12825,Pasadena,CA,California,TRUE,NA,25205,3582.1,6037
91107,34.15919,-118.08688,Pasadena,CA,California,TRUE,NA,33481,1528.4,6037
91108,34.12232,-118.11363,San Marino,CA,California,TRUE,NA,13175,1342.5,6037
91125,34.13772,-118.12492,Pasadena,CA,California,TRUE,NA,NA,NA,6037
91201,34.17041,-118.28902,Glendale,CA,California,TRUE,NA,22786,3691.6,6037
91202,34.18221,-118.26761,Glendale,CA,California,TRUE,NA,23399,1835.7,6037
91203,34.15287,-118.26355,Glendale,CA,California,TRUE,NA,15794,6946.4,6037
91204,34.13554,-118.26093,Glendale,CA,California,TRUE,NA,18950,7006.9,6037
91205,34.13679,-118.24339,Glendale,CA,California,TRUE,NA,37549,7649.6,6037
91206,34.16076,-118.21311,Glendale,CA,California,TRUE,NA,33781,2263,6037
91207,34.16872,-118.24477,Glendale,CA,California,TRUE,NA,11318,2747.1,6037
91208,34.19333,-118.23839,Glendale,CA,California,TRUE,NA,15146,791.2,6037
91210,34.14468,-118.25809,Glendale,CA,California,TRUE,NA,352,1423.5,6037
91214,34.23759,-118.24778,La Crescenta,CA,California,TRUE,NA,31668,1680,6037
91301,34.12314,-118.75685,Agoura Hills,CA,California,TRUE,NA,26021,303.4,6037
91302,34.12295,-118.67193,Calabasas,CA,California,TRUE,NA,26961,379.2,6037
91303,34.19784,-118.6017,Canoga Park,CA,California,TRUE,NA,31024,5662.3,6037
91304,34.22472,-118.63261,Canoga Park,CA,California,TRUE,NA,53637,2130,6037
91306,34.20926,-118.5755,Winnetka,CA,California,TRUE,NA,50319,4673.1,6037
91307,34.20177,-118.66226,West Hills,CA,California,TRUE,NA,25794,1223.5,6037
91311,34.29011,-118.60776,Chatsworth,CA,California,TRUE,NA,41811,495.7,6037
91316,34.15836,-118.51658,Encino,CA,California,TRUE,NA,30412,2151.6,6037
91320,34.17339,-118.94795,Newbury Park,CA,California,TRUE,NA,44667,854.8,6111
91321,34.36479,-118.4922,Newhall,CA,California,TRUE,NA,34340,497.3,6037
91324,34.23855,-118.55015,Northridge,CA,California,TRUE,NA,30995,2810.8,6037
91325,34.23636,-118.51777,Northridge,CA,California,TRUE,NA,34637,2777,6037
91326,34.28022,-118.5566,Porter Ranch,CA,California,TRUE,NA,36126,1722.1,6037
91330,34.2446,-118.52669,Northridge,CA,California,TRUE,NA,3136,2425.4,6037
91331,34.25602,-118.41939,Pacoima,CA,California,TRUE,NA,103683,4284,6037
91335,34.20107,-118.5407,Reseda,CA,California,TRUE,NA,80937,4759.1,6037
91340,34.28668,-118.43479,San Fernando,CA,California,TRUE,NA,37221,4188.6,6037
91342,34.31778,-118.39207,Sylmar,CA,California,TRUE,NA,94432,802.3,6037
91343,34.23837,-118.48076,North Hills,CA,California,TRUE,NA,65344,4259.5,6037
91344,34.28991,-118.5047,Granada Hills,CA,California,TRUE,NA,55694,1486.9,6037
91345,34.26591,-118.45948,Mission Hills,CA,California,TRUE,NA,18825,2240.5,6037
91350,34.43028,-118.50283,Santa Clarita,CA,California,TRUE,NA,38611,939.6,6037
91351,34.43269,-118.46276,Canyon Country,CA,California,TRUE,NA,30746,1366.7,6037
91352,34.23183,-118.36596,Sun Valley,CA,California,TRUE,NA,46027,1532,6037
91354,34.46039,-118.5528,Valencia,CA,California,TRUE,NA,33039,1741,6037
91355,34.42379,-118.58437,Valencia,CA,California,TRUE,NA,29371,862.1,6037
91356,34.15504,-118.54757,Tarzana,CA,California,TRUE,NA,30700,1616.4,6037
91360,34.21475,-118.87735,Thousand Oaks,CA,California,TRUE,NA,42663,1072.2,6111
91361,34.14016,-118.88398,Westlake Village,CA,California,TRUE,NA,19953,266.9,6111
91362,34.19244,-118.81949,Thousand Oaks,CA,California,TRUE,NA,37085,754,6111
91364,34.1548,-118.59492,Woodland Hills,CA,California,TRUE,NA,28395,1454.1,6037
91367,34.17708,-118.61518,Woodland Hills,CA,California,TRUE,NA,45074,2324.3,6037
91371,34.18505,-118.57605,Woodland Hills,CA,California,TRUE,NA,0,0,6037
91377,34.1847,-118.76652,Oak Park,CA,California,TRUE,NA,13987,1001.1,6111
91381,34.3753,-118.60744,Stevenson Ranch,CA,California,TRUE,NA,19675,192.2,6037
91384,34.51604,-118.67289,Castaic,CA,California,TRUE,NA,28833,107.5,6037
91387,34.39708,-118.3707,Canyon Country,CA,California,TRUE,NA,41145,297.4,6037
91390,34.53159,-118.40668,Santa Clarita,CA,California,TRUE,NA,19093,46.6,6037
91401,34.17801,-118.43183,Van Nuys,CA,California,TRUE,NA,40405,4408.3,6037
91402,34.22413,-118.4448,Panorama City,CA,California,TRUE,NA,70702,7326.2,6037
91403,34.14716,-118.46311,Sherman Oaks,CA,California,TRUE,NA,25837,2781,6037
91405,34.20153,-118.44863,Van Nuys,CA,California,TRUE,NA,56821,6455.7,6037
91406,34.19791,-118.48987,Van Nuys,CA,California,TRUE,NA,54309,2602,6037
91411,34.17853,-118.45956,Van Nuys,CA,California,TRUE,NA,24893,4924.6,6037
91423,34.14924,-118.43239,Sherman Oaks,CA,California,TRUE,NA,32968,3133.6,6037
91436,34.15219,-118.49053,Encino,CA,California,TRUE,NA,16737,1237.8,6037
91501,34.19469,-118.29431,Burbank,CA,California,TRUE,NA,19459,2754,6037
91502,34.17684,-118.30936,Burbank,CA,California,TRUE,NA,11218,3224.5,6037
91504,34.21349,-118.31478,Burbank,CA,California,TRUE,NA,27975,1159,6037
91505,34.17583,-118.34692,Burbank,CA,California,TRUE,NA,31139,2245.7,6037
91506,34.17134,-118.32384,Burbank,CA,California,TRUE,NA,17864,2846.3,6037
91601,34.16827,-118.37222,North Hollywood,CA,California,TRUE,NA,35312,5171.1,6037
91602,34.15078,-118.36633,North Hollywood,CA,California,TRUE,NA,20339,3849,6037
91604,34.13985,-118.39435,Studio City,CA,California,TRUE,NA,34021,2771,6037
91605,34.20699,-118.40067,North Hollywood,CA,California,TRUE,NA,52345,3763.6,6037
91606,34.18655,-118.38867,North Hollywood,CA,California,TRUE,NA,45003,5219.4,6037
91607,34.16633,-118.39982,Valley Village,CA,California,TRUE,NA,31039,4856.1,6037
91608,34.13839,-118.35272,Universal City,CA,California,TRUE,NA,18,11.8,6037
91701,34.13784,-117.60028,Rancho Cucamonga,CA,California,TRUE,NA,39954,2087,6071
91702,34.24129,-117.82614,Azusa,CA,California,TRUE,NA,61464,364.9,6037
91706,34.09627,-117.96855,Baldwin Park,CA,California,TRUE,NA,76581,2185.4,6037
91708,33.95141,-117.64506,Chino,CA,California,TRUE,NA,4880,233,6071
91709,33.95105,-117.72549,Chino Hills,CA,California,TRUE,NA,82800,713.4,6071
91710,34.00507,-117.68249,Chino,CA,California,TRUE,NA,90481,1585.7,6071
91711,34.12836,-117.71523,Claremont,CA,California,TRUE,NA,36217,936.2,6037
91722,34.09731,-117.90612,Covina,CA,California,TRUE,NA,34951,3271.7,6037
91723,34.08495,-117.88652,Covina,CA,California,TRUE,NA,17664,2923.3,6037
91724,34.0805,-117.85515,Covina,CA,California,TRUE,NA,27510,1703.4,6037
91730,34.10023,-117.5811,Rancho Cucamonga,CA,California,TRUE,NA,74843,2104.8,6071
91731,34.07914,-118.04047,El Monte,CA,California,TRUE,NA,30313,3083.7,6037
91732,34.07239,-118.01455,El Monte,CA,California,TRUE,NA,61075,5194.5,6037
91733,34.0454,-118.05314,South El Monte,CA,California,TRUE,NA,44908,2570,6037
91737,34.15523,-117.57808,Rancho Cucamonga,CA,California,TRUE,NA,24064,921.1,6071
91739,34.1622,-117.51558,Rancho Cucamonga,CA,California,TRUE,NA,39355,534.6,6071
91740,34.11884,-117.8534,Glendora,CA,California,TRUE,NA,26099,2011.6,6037
91741,34.1647,-117.83197,Glendora,CA,California,TRUE,NA,26071,494.2,6037
91744,34.02914,-117.93735,La Puente,CA,California,TRUE,NA,83396,3704.5,6037
91745,33.99926,-117.97225,Hacienda Heights,CA,California,TRUE,NA,55394,1651.5,6037
91746,34.04397,-117.98785,La Puente,CA,California,TRUE,NA,29876,1985.7,6037
91748,33.9769,-117.89924,Rowland Heights,CA,California,TRUE,NA,46634,1270.2,6037
91750,34.14927,-117.76647,La Verne,CA,California,TRUE,NA,34468,717.9,6037
91752,33.99575,-117.53399,Mira Loma,CA,California,TRUE,NA,36087,923.8,6065
91754,34.051,-118.14451,Monterey Park,CA,California,TRUE,NA,33343,2848.5,6037
91755,34.04832,-118.11496,Monterey Park,CA,California,TRUE,NA,27254,3340.1,6037
91759,34.2541,-117.69194,Mt Baldy,CA,California,TRUE,NA,351,1.6,6037
91761,34.03541,-117.5915,Ontario,CA,California,TRUE,NA,60827,824.3,6071
91762,34.02764,-117.64308,Ontario,CA,California,TRUE,NA,63819,1724.4,6071
91763,34.07208,-117.69828,Montclair,CA,California,TRUE,NA,39557,2881.6,6071
91764,34.07533,-117.60164,Ontario,CA,California,TRUE,NA,57265,2796.4,6071
91765,33.98725,-117.81473,Diamond Bar,CA,California,TRUE,NA,46248,961.4,6037
91766,34.04192,-117.75698,Pomona,CA,California,TRUE,NA,71189,2721.8,6037
91767,34.08143,-117.73868,Pomona,CA,California,TRUE,NA,50493,3429.4,6037
91768,34.06358,-117.78941,Pomona,CA,California,TRUE,NA,35634,1677.8,6037
91770,34.06395,-118.08361,Rosemead,CA,California,TRUE,NA,63177,3738.8,6037
91773,34.1072,-117.80928,San Dimas,CA,California,TRUE,NA,33703,868.9,6037
91775,34.11454,-118.08946,San Gabriel,CA,California,TRUE,NA,24517,3054.2,6037
91776,34.08987,-118.09519,San Gabriel,CA,California,TRUE,NA,38675,4469.7,6037
91780,34.10152,-118.05584,Temple City,CA,California,TRUE,NA,34854,3499.6,6037
91784,34.14103,-117.65831,Upland,CA,California,TRUE,NA,26296,1110.8,6071
91786,34.10525,-117.66206,Upland,CA,California,TRUE,NA,54165,2338.4,6071
91789,34.01858,-117.85408,Walnut,CA,California,TRUE,NA,43531,1059.3,6037
